gvkey	gvkeyx	from	thru	tic	co_conm	co_tic	co_cusip
009320	000003	19670930	19850131	I0003	SFN COS INC	SFN.	784150104
003568	000003	19670930	19850630	I0003	COX COMMUNICATIONS INC -OLD	COX.	224043109
006861	000003	19670930	19901130	I0003	MCA INC	MCA.1	552653107
009963	000003	19670930	20001211	I0003	SPRINGS INDUSTRIES  -CL A	SMI.1	851783100
005148	000003	19671231	19840131	I0003	GETTY OIL CO	GET.2	374280105
001098	000003	19680331	19920702	I0003	ACME-CLEVELAND CORP	AMT.1	004626107
008537	000003	19680331	19971127	I0003	CITIGROUP GLOBAL MKTS HLDGS	C2	173073008
003851	000003	19680331	20050818	I0003	DELTA AIR LINES INC	DAL	247361108
005468	000003	19680630	19911031	I0003	HARCOURT BRACE JOVANOVICH	HBJ	411631104
002433	000003	19680630	19920630	I0003	BNS HOLDING CO	BNSSA	055966402
002393	000003	19680630	20010402	I0003	BRIGGS & STRATTON	BGG	109043109
007260	000003	19680630	20110103	I0003	MEREDITH CORP	MDP	589433101
014097	000003	19680930	19841130	I0003	ARAMARK CORP  -CL B	4774B	002034932
009234	000003	19680930	19880331	I0003	ROPER CORP	ROP.1	776678104
001062	000003	19680930	19890731	I0003	ASA GOLD AND PRECIOUS METALS	ASA	G3156P103
003121	000003	19690331		I0003	CLOROX CO/DE	CLX	189054109
005071	000003	19690331		I0003	GENERAL MILLS INC	GIS	370334104
006819	000003	19690331	19971022	I0003	LOUISIANA LAND & EXPLORATION	LLX.	546268103
010156	000003	19690331	20121004	I0003	SUNOCO INC	SUN.1	86764P109
007881	000003	19690630		I0003	NEWMONT MINING CORP	NEM	651639106
001409	000003	19690630	19851231	I0003	AMERICAN BROADCASTING	ABC.2	024735102
003480	000003	19690630	20010401	I0003	CERIDIAN CORP	4622B	156779100
005245	000003	19690930	19880930	I0003	GOULD INC	GLD.3	383492105
007154	000003	19700630		I0003	MCDONALD'S CORP	MCD	580135101
004470	000003	19700630	19840331	I0003	EVANS PRODUCTS CO	4599B	299209106
009581	000003	19700630	19841231	I0003	SEDCO INC	SED.1	815246103
005187	000003	19700630	19851231	I0003	GLOBALSANTAFE CORP	GSF.2	G3930E101
006351	000003	19700630	19890228	I0003	SUNAMERICA INC	SAI.1	866930100
005662	000003	19700630	19900131	I0003	HOLIDAY CORP	HIA.1	435071105
007063	000003	19700630	19930930	I0003	HOST HOTELS & RESORTS INC	HST	44107P104
002917	000003	19700630	20000618	I0003	CHAMPION INTERNATIONAL CORP	CHA.3	158525105
008692	000003	19700630	20010708	I0003	POTLATCH CORP	PCH	737630103
005643	000003	19700630	20071024	I0003	HILTON WORLDWIDE HOLDINGS	HLT	432848109
002290	000003	19700630	20080622	I0003	OFFICEMAX INC	OMX	67622P101
006730	000003	19701231		I0003	LILLY (ELI) & CO	LLY	532457108
001239	000003	19710331	20061116	I0003	ALBERTO-CULVER CO	ACV.1	013078100
007152	000003	19710930	20030819	I0003	MCDERMOTT INTL INC	MDR	580037109
008937	000003	19711231	19891220	I0003	RAMADA INC	RAM.3	751328105
008974	000003	19720331	19890731	I0003	R & B FALCON CORP	FLC.2	74912E945
006038	000003	19720331	19930712	I0003	INTERLAKE CORP	IK	458702107
002086	000003	19720930		I0003	BAXTER INTERNATIONAL INC	BAX	071813109
002111	000003	19720930		I0003	BECTON DICKINSON & CO	BDX	075887109
007413	000003	19720930	19840831	I0003	MILTON BRADLEY CO	MB.1	601753106
003869	000003	19720930	19841231	I0003	DENNY'S INC	DEN.1	248703100
001481	000003	19720930	19851031	I0003	AMERICAN HOSPITAL SUPPLY	AHS.1	026681106
005458	000003	19730331	19960307	I0003	HANDLEMAN CO	HDLM	410252100
008202	000003	19730331	19960930	I0003	OUTBOARD MARINE CORP	9975B	690020102
002444	000003	19730331	20080622	I0003	BRUNSWICK CORP	BC	117043109
010332	000003	19730331	20110630	I0003	RS LEGACY CORP	RSHCQ	74979E101
006266	000003	19730630		I0003	JOHNSON & JOHNSON	JNJ	478160104
005775	000003	19730630	19870331	I0003	HUGHES TOOL CO	HT.	444492102
001194	000003	19730630	19980930	I0003	AHMANSON (H F) & CO	AHM.1	008677106
002796	000003	19730930	19910131	I0003	BROADWAY STORES INC	BWY.1	111572103
005125	000003	19731231		I0003	GENUINE PARTS CO	GPC	372460105
004204	000003	19731231	19980709	I0003	ECHLIN INC	ECH.1	278749106
009002	000003	19740630	19880930	I0003	REDMAN INDUSTRIES INC	RDMN	757642103
010950	000003	19740630	19910331	I0003	U S HOME CORP	UH	911920106
009761	000003	19740630	19950730	I0003	SKYLINE CORP	SKY	830830105
004768	000003	19740630	20000130	I0003	FLEETWOOD ENTERPRISES INC	FLTWQ	339099103
005606	000003	19741231		I0003	HP INC	HPQ	40434L105
010540	000003	19741231	20040802	I0003	THOMAS & BETTS CORP	TNB	884315102
006821	000003	19741231	20061109	I0003	LOUISIANA-PACIFIC CORP	LPX	546347105
008488	000003	19741231	20081123	I0003	APPLIED BIOSYSTEMS INC	ABI.3	038149100
011506	000003	19750331		I0003	WILLIAMS COS INC	WMB	969457100
002122	000003	19750331	19850930	I0003	BEKER INDUSTRIES	BKI910	077266104
010608	000003	19750331	19910430	I0003	TONKA CORP	TKA.	890278104
004719	000003	19750331	19951022	I0003	CHEMFIRST INC	CEM.2	16361A106
006096	000003	19750331	20001017	I0003	MALLINCKRODT INC	MKG	561232109
002044	000003	19750630		I0003	BARD (C.R.) INC	BCR	067383109
008407	000003	19750930	19850930	I0003	PEABODY INTERNATIONAL CORP	PBD.1	704562107
002439	000003	19750930	19990801	I0003	BROWNING-FERRIS INDS	BFI.	115885105
004207	000003	19751231	19860430	I0003	ECKERD CORP	ECK.1	278763107
013961	000003	19751231	19861130	I0003	REVCO D.S. INC	RXR.1	761339100
011284	000003	19751231	19890731	I0003	WARNER COMMUNICATIONS INC	WCI.1	934436106
003955	000003	19751231	19980611	I0003	DIGITAL EQUIPMENT	DEC.1	253849103
009155	000003	19751231	20000726	I0003	RITE AID CORP	RAD	767754104
006475	000003	19751231	20060627	I0003	KNIGHT-RIDDER INC	KRI	499040103
004988	000003	19751231	20170601	I0003	TEGNA INC	TGNA	87901J105
006078	000003	19760331		I0003	INTL FLAVORS & FRAGRANCES	IFF	459506101
002272	000003	19760331	19841031	I0003	BLUE BELL INC	BBL.1	095293106
006834	000003	19760331	19880531	I0003	LUCKY STORES INC	LKS	549577104
007672	000003	19760331	19890630	I0003	NORTHWEST AIRLINES CORP	NWA	667280101
002255	000003	19760331	20100314	I0003	BLACK & DECKER CORP	BDK	091797100
001177	000003	19760630		I0003	AETNA INC	AET	00817Y108
001447	000003	19760630		I0003	AMERICAN EXPRESS CO	AXP	025816109
002547	000003	19760630		I0003	CIGNA CORP	CI	125509109
002968	000003	19760630		I0003	JPMORGAN CHASE & CO	JPM	46625H100
003505	000003	19760630		I0003	MOLSON COORS BREWING CO	TAP	60871R209
003980	000003	19760630		I0003	DISNEY (WALT) CO	DIS	254687106
004093	000003	19760630		I0003	DUKE ENERGY CORP	DUK	26441C204
004517	000003	19760630		I0003	NEXTERA ENERGY INC	NEE	65339F101
